pair_id,batch,premise_supported,label,confidence,rationale,exact_supporting_quote,scope_correction,source_key
legal_nli_001,NLI_BATCH_1.md,True,contradiction,0.99,"The rule makes the finishing-country result conditional on every working edge/surface/part being configured, the imported blank being incapable of functioning, and the stated processing limit; otherwise the blank's origin controls. The hypothesis reverses, excludes, or violates an express condition of the premise.","(a) The country of origin of a good or part produced from a blank which by application of the Harmonized System General Interpretative Rule 2(a) is classified in the same heading, subheading or subdivision as the complete or finished good or part, shall be the country in which every working edge, working surface and working part was configured to final shape and dimension, provided, in its imported condition, the blank from which it was produced: (i) was not capable of functioning, and (ii) was not advanced beyond the initial stamping process or any processing required to remove the material from the forging platter or casting mould; (b) If the criteria in paragraph (a) are not satisfied, the country of origin is the country of origin of the blank of this Chapter.",,L_2015343EN.01000101 / chunk_129
legal_nli_002,NLI_BATCH_1.md,True,neutral,0.98,"The rule permits applicant-requested interlocutory injunctions for imminent infringement, provisional continuation restrictions/guarantees, and injunctions against qualifying intermediaries. The hypothesis introduces an additional fee, duty, date, location, equipment/origin restriction, compensation/refund, licensing rule, appeal right, or other fact absent from the premise; it is neutral.","The EC Party and the Signatory CARIFORUM States shall ensure that the judicial authorities may, at the request of the applicant issue an interlocutory injunction intended to prevent any imminent infringement of an intellectual property right, or to forbid, on a provisional basis and subject, where appropriate, to a recurring penalty payment where provided for by national law, the continuation of the alleged infringements of that right, or to make such continuation subject to the lodging of guarantees intended to ensure the compensation of the right holder where an infringement is determined. An interlocutory injunction may also be issued, under the same conditions, against an intermediary whose services are being used by a third party to infringe an intellectual property right.",Clarify that the guarantee language makes continuation of the alleged infringement subject to lodging guarantees intended to compensate the right holder if infringement is determined; the judicial authority 'may' issue the measure.,L_2008289EN.01000101 / chunk_48
legal_nli_003,NLI_BATCH_1.md,True,contradiction,0.99,"The rule expressly permits random verification and verification triggered by reasonable doubts about authenticity, originating status, or other Protocol requirements. The hypothesis reverses, excludes, or violates an express condition of the premise.","Subsequent verifications of proofs of origin shall be carried out at random or whenever the customs authorities of the importing country have reasonable doubts as to the authenticity of such documents, the originating status of the products concerned or the fulfilment of the other requirements of this Protocol.",,L_2007345EN.01000101 / chunk_39
legal_nli_004,NLI_BATCH_1.md,True,neutral,0.98,"The Committee on Trade in Goods may be convened at the request of a Party or the Trade Committee and comprises representatives of the Parties. The hypothesis introduces an additional fee, duty, date, location, equipment/origin restriction, compensation/refund, licensing rule, appeal right, or other fact absent from the premise; it is neutral.",The Committee on Trade in Goods established pursuant to Article 15.2.1 (Specialised Committees) shall meet on the request of a Party or of the Trade Committee to consider any matter arising under this Chapter and comprise representatives of the Parties.,,L_2011127EN.01000101 / chunk_8
legal_nli_005,NLI_BATCH_1.md,True,contradiction,0.99,"The definition requires tobacco and glycerol; listed additives and fruit flavouring are optional, and tobacco-free water-pipe products are excluded. The hypothesis reverses, excludes, or violates an express condition of the premise.","For the purposes of subheading 2403 11, the expression 'water-pipe tobacco' means tobacco intended for smoking in a water pipe and which consists of a mixture of tobacco and glycerol, whether or not containing aromatic oils and extracts, molasses or sugar, and whether or not flavoured with fruit. However, tobacco-free products intended for smoking in a water pipe are excluded from this subheading.",,L_2016294EN.01000101 / chunk_164
legal_nli_006,NLI_BATCH_1.md,True,entailment,0.99,The wood-flour definition allows no more than 8% by weight retained on a 0.63 mm sieve. The hypothesis restates an express element of that rule or follows directly from its stated numerical condition.,"For the purposes of heading 4405 , 'wood flour' means wood powder of which not more than 8 % by weight is retained by a sieve with an aperture of 0,63 mm.",,L_2011282EN.01000101 / chunk_271
legal_nli_007,NLI_BATCH_1.md,True,neutral,0.96,The premise gives an entry-into-force rule but does not identify whether any particular named State has deposited an instrument; the historical event claim is neutral.,"This Convention shall enter into force six months after the date on which five States referred to in Article 52, paragraph 1, have signed it without reservation of ratification, acceptance or approval or have deposited their instruments of ratification, acceptance, approval or accession. After five States referred to in Article 52, paragraph 1, have signed it without reservation of ratification, acceptance or approval, or have deposited their instruments of ratification, acceptance, approval or accession, this Convention shall enter into force for further Contracting Parties six months after the date of the deposit of their instruments of ratification, acceptance, approval or accession.","For exact source scope, replace 'eligible States' with 'States referred to in Article 52, paragraph 1'.",L_2009165EN.01000101 / chunk_10
legal_nli_008,NLI_BATCH_1.md,True,neutral,0.98,"The wood-flour definition allows no more than 8% by weight retained on a 0.63 mm sieve. The hypothesis introduces an additional fee, duty, date, location, equipment/origin restriction, compensation/refund, licensing rule, appeal right, or other fact absent from the premise; it is neutral.","For the purposes of heading 4405 , 'wood flour' means wood powder of which not more than 8 % by weight is retained by a sieve with an aperture of 0,63 mm.",,L_2011282EN.01000101 / chunk_271
legal_nli_009,NLI_BATCH_1.md,True,neutral,0.98,"The definition requires tobacco and glycerol; listed additives and fruit flavouring are optional, and tobacco-free water-pipe products are excluded. The hypothesis introduces an additional fee, duty, date, location, equipment/origin restriction, compensation/refund, licensing rule, appeal right, or other fact absent from the premise; it is neutral.","For the purposes of subheading 2403 11, the expression 'water-pipe tobacco' means tobacco intended for smoking in a water pipe and which consists of a mixture of tobacco and glycerol, whether or not containing aromatic oils and extracts, molasses or sugar, and whether or not flavoured with fruit. However, tobacco-free products intended for smoking in a water pipe are excluded from this subheading.",,L_2016294EN.01000101 / chunk_164
legal_nli_010,NLI_BATCH_1.md,True,entailment,0.99,The Committee on Trade in Goods may be convened at the request of a Party or the Trade Committee and comprises representatives of the Parties. The hypothesis restates an express element of that rule or follows directly from its stated numerical condition.,The Committee on Trade in Goods established pursuant to Article 15.2.1 (Specialised Committees) shall meet on the request of a Party or of the Trade Committee to consider any matter arising under this Chapter and comprise representatives of the Parties.,,L_2011127EN.01000101 / chunk_8
legal_nli_011,NLI_BATCH_1.md,True,contradiction,0.99,"The definition requires tobacco and glycerol; listed additives and fruit flavouring are optional, and tobacco-free water-pipe products are excluded. The hypothesis reverses, excludes, or violates an express condition of the premise.","For the purposes of subheading 2403 11, the expression 'water-pipe tobacco' means tobacco intended for smoking in a water pipe and which consists of a mixture of tobacco and glycerol, whether or not containing aromatic oils and extracts, molasses or sugar, and whether or not flavoured with fruit. However, tobacco-free products intended for smoking in a water pipe are excluded from this subheading.",,L_2016294EN.01000101 / chunk_164
legal_nli_012,NLI_BATCH_1.md,True,contradiction,0.99,"The initial threshold is five Article 52(1) States and the interval is six months; further Contracting Parties also face a six-month interval after deposit. The hypothesis reverses, excludes, or violates an express condition of the premise.","This Convention shall enter into force six months after the date on which five States referred to in Article 52, paragraph 1, have signed it without reservation of ratification, acceptance or approval or have deposited their instruments of ratification, acceptance, approval or accession. After five States referred to in Article 52, paragraph 1, have signed it without reservation of ratification, acceptance or approval, or have deposited their instruments of ratification, acceptance, approval or accession, this Convention shall enter into force for further Contracting Parties six months after the date of the deposit of their instruments of ratification, acceptance, approval or accession.","For exact source scope, replace 'eligible States' with 'States referred to in Article 52, paragraph 1'.",L_2009165EN.01000101 / chunk_10
legal_nli_013,NLI_BATCH_1.md,True,neutral,0.98,"A withholding or denial requires notification of both the decision and reasons to the applicant authority without delay. The hypothesis introduces an additional fee, duty, date, location, equipment/origin restriction, compensation/refund, licensing rule, appeal right, or other fact absent from the premise; it is neutral.","If assistance is withheld or denied, the decision and the reasons therefor must be notified to the applicant authority without delay.",,L_1994001EN.01000101 / chunk_50
legal_nli_014,NLI_BATCH_1.md,True,contradiction,0.99,"The wood-flour definition allows no more than 8% by weight retained on a 0.63 mm sieve. The hypothesis reverses, excludes, or violates an express condition of the premise.","For the purposes of heading 4405 , 'wood flour' means wood powder of which not more than 8 % by weight is retained by a sieve with an aperture of 0,63 mm.",,L_2011282EN.01000101 / chunk_271
legal_nli_015,NLI_BATCH_1.md,True,contradiction,0.99,"A withholding or denial requires notification of both the decision and reasons to the applicant authority without delay. The hypothesis reverses, excludes, or violates an express condition of the premise.","If assistance is withheld or denied, the decision and the reasons therefor must be notified to the applicant authority without delay.",,L_1994001EN.01000101 / chunk_50
legal_nli_016,NLI_BATCH_1.md,True,neutral,0.98,"The wood-flour definition allows no more than 8% by weight retained on a 0.63 mm sieve. The hypothesis introduces an additional fee, duty, date, location, equipment/origin restriction, compensation/refund, licensing rule, appeal right, or other fact absent from the premise; it is neutral.","For the purposes of heading 4405 , 'wood flour' means wood powder of which not more than 8 % by weight is retained by a sieve with an aperture of 0,63 mm.",,L_2011282EN.01000101 / chunk_271
